bug_id,top1_hit,top3_hit,top5_hit,top1_file_hit,top3_file_hit,top5_file_hit,mrr,map,num_gt_methods,num_gt_files
Chart-1,0,0,1,0,0,1,0.2,0.2,1,1
Chart-2,0,0,0,1,1,1,0.0,0.0,2,1
Chart-3,0,0,0,1,1,1,0.0,0.0,1,1
Chart-4,0,0,0,0,0,0,0.0,0.0,1,1
Chart-5,0,0,0,1,1,1,0.0,0.0,1,1
Chart-6,1,1,1,1,1,1,1.0,1.0,1,1
Chart-7,0,0,0,1,1,1,0.0,0.0,1,1
Chart-8,0,0,0,1,1,1,0.0,0.0,1,1
Chart-9,1,1,1,1,1,1,1.0,1.0,1,1
Chart-10,1,1,1,1,1,1,1.0,1.0,1,1
Chart-11,0,0,0,1,1,1,0.0,0.0,1,1
Chart-12,0,0,0,0,1,1,0.0,0.0,1,1
Chart-13,0,0,0,1,1,1,0.0,0.0,1,1
Chart-14,0,0,0,1,1,1,0.0,0.0,4,2
Chart-15,0,0,0,1,1,1,0.0,0.0,2,1
Chart-16,0,0,0,1,1,1,0.0,0.0,2,1
Chart-17,0,1,1,1,1,1,0.5,0.5,1,1
Chart-18,1,1,1,1,1,1,1.0,1.0,3,2
Chart-19,0,0,1,1,1,1,0.2,0.1,2,1
Chart-20,0,0,0,1,1,1,0.0,0.0,1,1
Chart-21,1,1,1,1,1,1,1.0,0.5,2,1
Chart-22,1,1,1,1,1,1,1.0,0.41666666666666663,4,1
Chart-23,0,0,0,0,0,0,0.0,0,0,0
Chart-24,1,1,1,1,1,1,1.0,1.0,1,1
Chart-25,0,0,0,1,1,1,0.0,0.0,2,1
Chart-26,0,0,0,0,0,0,0.0,0.0,1,1
Cli-1,0,0,0,1,1,1,0.0,0.0,6,1
Cli-2,0,0,0,1,1,1,0.0,0.0,1,1
Cli-3,0,0,0,0,0,0,0.0,0.0,1,1
Cli-4,0,0,0,0,1,1,0.0,0.0,1,1
Cli-5,1,1,1,1,1,1,1.0,1.0,1,1
Cli-7,0,0,0,0,0,0,0.0,0,0,0
Cli-8,0,0,0,1,1,1,0.0,0.0,1,1
Cli-9,1,1,1,1,1,1,1.0,1.0,1,1
Cli-10,0,0,0,0,1,1,0.0,0.0,1,1
Cli-11,0,0,0,0,0,0,0.0,0.0,1,1
Cli-12,0,0,0,0,0,0,0.0,0.0,1,1
Cli-13,0,0,0,0,1,1,0.0,0.0,1,1
Cli-14,0,0,0,0,0,0,0.0,0.0,1,1
Cli-15,0,0,0,0,0,0,0.0,0.0,1,1
Cli-16,0,0,0,1,1,1,0.0,0.0,2,2
Cli-17,0,0,0,1,1,1,0.0,0.0,1,1
Cli-18,0,0,0,1,1,1,0.0,0.0,3,1
Cli-19,0,0,0,1,1,1,0.0,0.0,1,1
Cli-20,0,0,0,1,1,1,0.0,0.0,1,1
Cli-21,0,0,0,0,0,0,0.0,0.0,3,2
Cli-22,1,1,1,1,1,1,1.0,0.25,4,1
Cli-23,0,0,0,1,1,1,0.0,0.0,1,1
Cli-24,0,0,0,1,1,1,0.0,0.0,1,1
Cli-25,0,0,0,1,1,1,0.0,0.0,1,1
Cli-26,0,0,1,1,1,1,0.25,0.25,1,1
Cli-27,1,1,1,1,1,1,1.0,1.0,1,1
Cli-28,1,1,1,1,1,1,1.0,1.0,1,1
Cli-29,0,0,1,0,0,1,0.2,0.2,1,1
Cli-30,0,1,1,1,1,1,0.5,0.25,2,2
Cli-31,0,0,0,1,1,1,0.0,0.0,2,2
Cli-32,0,0,0,1,1,1,0.0,0.0,1,1
Cli-33,0,0,0,1,1,1,0.0,0.0,1,1
Cli-34,0,0,0,1,1,1,0.0,0.0,1,1
Cli-35,0,0,0,0,0,0,0.0,0.0,1,1
Cli-36,0,0,0,0,0,0,0.0,0,0,0
Cli-37,0,0,0,1,1,1,0.0,0.0,1,1
Cli-38,0,0,0,1,1,1,0.0,0.0,1,1
Cli-39,0,0,0,1,1,1,0.0,0.0,1,1
Cli-40,0,0,0,1,1,1,0.0,0.0,1,1
Closure-1,1,1,1,1,1,1,1.0,1.0,1,1
Closure-2,0,0,0,1,1,1,0.0,0.0,1,1
Closure-3,0,0,0,0,0,0,0.0,0.0,2,2
Closure-4,0,0,0,0,0,1,0.0,0.0,1,1
Closure-5,0,0,0,0,1,1,0.0,0.0,1,1
Closure-6,0,0,0,0,0,0,0.0,0.0,2,1
Closure-7,0,1,1,1,1,1,0.5,0.5,1,1
Closure-8,0,0,0,0,0,0,0.0,0.0,1,1
Closure-9,0,1,1,0,1,1,0.3333333333333333,0.16666666666666666,2,2
Closure-10,0,0,0,0,1,1,0.0,0.0,1,1
Closure-11,0,0,0,0,0,0,0.0,0.0,1,1
Closure-12,0,0,0,0,0,0,0.0,0.0,1,1
Closure-13,0,0,0,0,0,0,0.0,0.0,1,1
Closure-14,0,0,1,0,1,1,0.25,0.25,1,1
Closure-15,0,0,0,0,0,0,0.0,0,0,0
Closure-16,0,0,1,0,0,1,0.25,0.08333333333333333,3,2
Closure-17,0,0,0,0,0,0,0.0,0.0,1,1
Closure-18,0,0,0,0,0,0,0.0,0.0,1,1
Closure-19,0,0,0,0,1,1,0.0,0.0,1,1
Closure-20,1,1,1,1,1,1,1.0,1.0,1,1
Closure-21,0,0,0,1,1,1,0.0,0.0,1,1
Closure-22,0,0,0,1,1,1,0.0,0.0,1,1
Closure-23,0,0,0,1,1,1,0.0,0.0,1,1
Closure-24,0,0,0,0,0,1,0.0,0.0,1,1
Closure-25,0,0,0,1,1,1,0.0,0.0,1,1
Closure-26,0,0,0,1,1,1,0.0,0.0,2,1
Closure-27,0,1,1,1,1,1,0.5,0.25,2,1
Closure-28,0,0,0,0,0,0,0.0,0,0,0
Closure-29,0,0,0,0,0,1,0.0,0.0,1,1
Closure-30,0,0,0,0,0,0,0.0,0.0,3,2
Closure-31,0,0,0,0,0,0,0.0,0.0,1,1
Closure-32,0,0,0,1,1,1,0.0,0.0,1,1
Closure-33,0,0,0,0,0,0,0.0,0.0,1,1
Closure-34,0,0,0,0,1,1,0.0,0.0,3,2
Closure-35,0,0,0,0,0,0,0.0,0.0,1,1
Closure-36,0,0,0,0,0,0,0.0,0.0,1,1
Closure-37,0,0,0,0,1,1,0.0,0.0,2,2
Closure-38,0,1,1,0,1,1,0.5,0.5,1,1
Closure-39,0,0,0,0,0,0,0.0,0.0,1,1
Closure-40,0,0,0,0,0,0,0.0,0.0,1,1
Closure-41,0,0,0,0,0,0,0.0,0.0,2,1
Closure-42,1,1,1,1,1,1,1.0,1.0,1,1
Closure-43,0,0,0,0,0,0,0.0,0.0,2,1
Closure-44,0,0,0,0,0,0,0.0,0.0,1,1
Closure-45,0,0,0,0,0,0,0.0,0.0,2,2
Closure-46,1,1,1,1,1,1,1.0,1.0,1,1
Closure-47,0,0,0,0,0,0,0.0,0.0,1,1
Closure-48,0,0,0,0,0,1,0.0,0.0,1,1
Closure-49,0,0,0,0,0,0,0.0,0.0,3,1
Closure-50,0,0,0,0,0,0,0.0,0.0,1,1
Closure-51,0,0,0,0,0,0,0.0,0.0,1,1
Closure-52,0,0,0,0,0,0,0.0,0.0,1,1
Closure-53,0,0,0,0,0,0,0.0,0.0,1,1
Closure-54,0,0,0,1,1,1,0.0,0.0,3,2
Closure-55,0,0,0,0,0,0,0.0,0.0,1,1
Closure-56,0,0,0,0,0,0,0.0,0.0,1,1
Closure-57,0,0,0,0,1,1,0.0,0.0,1,1
Closure-58,0,0,0,0,0,0,0.0,0.0,1,1
Closure-59,0,0,0,0,0,0,0.0,0.0,1,1
Closure-60,0,0,0,0,0,0,0.0,0.0,2,1
Closure-61,0,0,0,0,0,0,0.0,0.0,1,1
Closure-62,0,0,0,1,1,1,0.0,0.0,1,1
Closure-64,0,0,0,0,0,1,0.0,0.0,3,1
Closure-65,0,0,0,1,1,1,0.0,0.0,1,1
Closure-66,0,0,0,1,1,1,0.0,0.0,1,1
Closure-67,0,0,0,0,0,0,0.0,0.0,1,1
Closure-68,1,1,1,1,1,1,1.0,0.5555555555555555,3,1
Closure-69,0,0,0,0,0,0,0.0,0.0,1,1
Closure-70,0,0,0,0,0,0,0.0,0.0,1,1
Closure-71,0,0,0,1,1,1,0.0,0.0,1,1
Closure-72,0,0,0,0,0,0,0.0,0.0,2,2
Closure-73,0,0,0,1,1,1,0.0,0.0,1,1
Closure-74,0,0,0,1,1,1,0.0,0.0,1,1
Closure-75,1,1,1,1,1,1,1.0,0.7,2,1
Closure-76,0,0,0,1,1,1,0.0,0.0,2,1
Closure-77,0,0,0,1,1,1,0.0,0.0,1,1
Closure-78,0,0,0,1,1,1,0.0,0.0,1,1
Closure-79,0,0,1,1,1,1,0.2,0.1,2,2
Closure-80,0,0,1,1,1,1,0.25,0.125,2,1
Closure-81,0,1,1,0,1,1,0.5,0.5,1,1
Closure-82,0,0,0,0,0,0,0.0,0.0,1,1
Closure-83,0,0,0,0,0,0,0.0,0.0,1,1
Closure-84,0,0,0,0,0,0,0.0,0.0,2,1
Closure-85,0,0,1,0,0,1,0.2,0.1,2,1
Closure-86,0,0,0,0,1,1,0.0,0.0,1,1
Closure-87,0,0,0,0,1,1,0.0,0.0,1,1
Closure-88,0,0,0,1,1,1,0.0,0.0,1,1
Closure-89,0,0,0,0,0,0,0.0,0.0,2,2
Closure-90,1,1,1,1,1,1,1.0,0.5,2,2
Closure-91,0,0,0,0,0,0,0.0,0.0,1,1
Closure-92,0,0,0,0,1,1,0.0,0.0,1,1
Closure-94,0,0,0,0,0,1,0.0,0.0,1,1
Closure-96,0,0,0,0,0,0,0.0,0.0,1,1
Closure-97,1,1,1,1,1,1,1.0,1.0,1,1
Closure-98,0,0,0,0,0,0,0.0,0.0,2,2
Closure-99,0,0,0,0,0,1,0.0,0.0,1,1
Closure-100,0,0,0,1,1,1,0.0,0.0,2,1
Closure-101,0,0,0,0,1,1,0.0,0.0,1,1
Closure-102,0,0,0,0,0,0,0.0,0.0,1,1
Closure-103,0,0,0,0,1,1,0.0,0.0,2,2
Closure-104,0,0,1,0,0,1,0.25,0.25,1,1
Closure-105,0,0,0,1,1,1,0.0,0.0,1,1
Closure-106,0,0,0,0,0,0,0.0,0.0,2,2
Closure-107,0,0,0,0,0,0,0.0,0.0,1,1
Closure-108,0,0,0,0,0,0,0.0,0.0,3,1
Closure-109,0,1,1,1,1,1,0.5,0.5,1,1
Closure-110,0,0,0,0,0,1,0.0,0.0,2,2
Closure-111,0,0,0,0,0,0,0.0,0,0,0
Closure-112,0,0,0,1,1,1,0.0,0.0,1,1
Closure-113,0,0,0,1,1,1,0.0,0.0,1,1
Closure-114,0,0,0,0,0,0,0.0,0.0,1,1
Closure-115,0,0,0,0,0,0,0.0,0.0,1,1
Closure-116,0,0,0,1,1,1,0.0,0.0,1,1
Closure-117,0,0,0,0,0,1,0.0,0.0,1,1
Closure-118,0,0,0,0,1,1,0.0,0.0,1,1
Closure-119,0,0,0,0,0,0,0.0,0.0,1,1
Closure-120,0,0,0,0,0,0,0.0,0.0,1,1
Closure-121,0,0,0,1,1,1,0.0,0.0,1,1
Closure-122,1,1,1,1,1,1,1.0,1.0,1,1
Closure-123,0,0,0,0,0,1,0.0,0.0,1,1
Closure-124,0,0,0,1,1,1,0.0,0.0,1,1
Closure-125,0,0,0,1,1,1,0.0,0.0,1,1
Closure-126,0,0,0,0,1,1,0.0,0.0,1,1
Closure-127,0,0,0,0,0,1,0.0,0.0,1,1
Closure-128,0,0,0,0,0,0,0.0,0.0,1,1
Closure-129,0,0,0,0,0,0,0.0,0.0,1,1
Closure-130,0,0,0,0,1,1,0.0,0.0,1,1
Closure-131,0,0,0,0,0,0,0.0,0.0,1,1
Closure-132,0,0,0,0,0,0,0.0,0.0,1,1
Closure-134,0,0,0,0,0,0,0.0,0.0,5,4
Closure-135,0,0,0,0,1,1,0.0,0.0,2,2
Closure-136,0,0,0,0,0,0,0.0,0.0,2,2
Closure-137,0,0,0,0,0,0,0.0,0.0,6,4
Closure-138,0,0,0,0,1,1,0.0,0.0,2,2
Closure-139,0,0,0,0,0,0,0.0,0.0,2,2
Closure-140,0,1,1,0,1,1,0.3333333333333333,0.16666666666666666,2,1
Closure-141,0,0,0,1,1,1,0.0,0.0,2,2
Closure-142,0,0,0,0,0,0,0.0,0.0,2,2
Closure-143,0,0,0,1,1,1,0.0,0.0,2,2
Closure-144,0,0,0,0,1,1,0.0,0.0,4,3
Closure-145,0,0,0,0,1,1,0.0,0.0,1,1
Closure-146,0,0,1,0,0,1,0.25,0.25,1,1
Closure-147,0,0,0,1,1,1,0.0,0.0,2,2
Closure-148,0,0,0,0,0,0,0.0,0.0,12,4
